track name=track_temp.txt
chr11	120824465	120824485
chr11	120824302	120824322
chr11	120824130	120824150
chr11	120824038	120824058
chr11	120822814	120822834
chr11	120822775	120822795
chr11	120822753	120822773
chr11	120822731	120822751
chr11	120822208	120822228
chr11	120822165	120822185
chr11	120822103	120822123
chr11	120822081	120822101
chr11	120821052	120821072
chr11	120820975	120820995
chr11	120820721	120820741
chr11	120820667	120820687
chr11	120820577	120820597
chr11	120820538	120820558
chr11	120820352	120820372
chr11	120820330	120820350
chr11	120820308	120820328
chr11	120820276	120820296
chr11	120820253	120820273
chr11	120820131	120820151
chr11	120820109	120820129
chr11	120820041	120820061
chr11	120819902	120819922
chr11	120819865	120819885
chr11	120819843	120819863
chr11	120819189	120819209
chr11	120819146	120819166
chr11	120819049	120819069
chr11	120819027	120819047
chr11	120819005	120819025
chr11	120818957	120818977
chr11	120818857	120818877
chr11	120818803	120818823
chr11	120818549	120818569
chr11	120818498	120818518
chr11	120818471	120818491
chr11	120818428	120818448
chr11	120818145	120818165
chr11	120818121	120818141
chr11	120818072	120818092
chr11	120818041	120818061
chr11	120818014	120818034
chr11	120817228	120817248
chr11	120817206	120817226
chr11	120817139	120817159
chr11	120816950	120816970
chr11	120816928	120816948
chr11	120816901	120816921
chr11	120817125	120817145
chr11	120816689	120816709
chr11	120816667	120816687
chr11	120816638	120816658
chr11	120816465	120816485
chr11	120816396	120816416
chr11	120816342	120816362
chr11	120816216	120816236
chr11	120816182	120816202
chr11	120816082	120816102
chr11	120816058	120816078
chr11	120816036	120816056
chr11	120815770	120815790
chr11	120815741	120815761
chr11	120815705	120815725
chr11	120815649	120815669
chr11	120815602	120815622
chr11	120815415	120815435
chr11	120815390	120815410
chr11	120815364	120815384
chr11	120815332	120815352
chr11	120815310	120815330
chr11	120815201	120815221
chr11	120815163	120815183
chr11	120815141	120815161
chr11	120815088	120815108
chr11	120815066	120815086
chr11	120814635	120814655
chr11	120814560	120814580
chr11	120814496	120814516
chr11	120814000	120814020
chr11	120813961	120813981
chr11	120813915	120813935
chr11	120813830	120813850
chr11	120813807	120813827
chr11	120813713	120813733
chr11	120813534	120813554
chr11	120813505	120813525
chr11	120813483	120813503
chr11	120813421	120813441
chr11	120813397	120813417
chr11	120813238	120813258
chr11	120813110	120813130
chr11	120813088	120813108
